,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,trips
33284,Broadway & W 53 St,W 53 St & 10 Ave,40.76344058,-73.98268129,40.76669671,-73.99061728,179
13109,Kent Ave & N 7 St,India St Pier,40.72036775298455,-73.96165072917938,40.731734785883454,-73.9612390102593,178
6059,Vesey Pl & River Terrace,North Moore St & Greenwich St,40.7153379,-74.01658354,40.72019521437465,-74.0103006362915,178
17075,E 33 St & 1 Ave,E 40 St & Park Ave,40.74322681432173,-73.97449783980846,40.750756,-73.978326,178
3281,Motorgate,Motorgate,40.7639089,-73.9477213,40.7639089,-73.9477213,178
26146,1 Ave & E 30 St,2 Ave & E 29 St,40.74144387,-73.97536082,40.74172351097472,-73.97809267044067,178
37329,5 Ave & E 103 St,5 Ave & E 103 St,40.7922553,-73.95249933,40.7922553,-73.95249933,177
5043,Driggs Ave & N Henry St,Driggs Ave & N 9 St,40.72325,-73.94308,40.71816969454208,-73.95520135760307,177
33932,W 42 St & 6 Ave,11 Ave & W 41 St,40.75492,-73.98455,40.76030096,-73.99884222,177
30406,E 85 St & York Ave,E 85 St & 3 Ave,40.77536905,-73.94803392,40.77801203,-73.95407149,177
4266,W 54 St & 9 Ave,9 Ave & W 45 St,40.76584941,-73.98690506,40.76019252,-73.9912551,177
3566,West St & Liberty St,Pier 40 - Hudson River Park,40.711444,-74.014847,40.7277140777778,-74.01129573583603,176
537,W 20 St & 10 Ave,W 20 St & 7 Ave,40.745686,-74.005141,40.74238787,-73.99726235,176
5056,E 27 St & 1 Ave,W 31 St & 7 Ave,40.739445,-73.976806,40.749156,-73.9916,176
5313,2 Ave & E 72 St,1 Ave & E 78 St,40.7687620293096,-73.95840793848038,40.77140426,-73.9535166,175
27101,E 31 St & 3 Ave,W 31 St & 7 Ave,40.74394314,-73.97966069,40.749156,-73.9916,175
11564,Vernon Blvd & 50 Ave,Center Blvd & 51 Ave,40.74232744,-73.95411749,40.74336608027021,-73.95960688591003,175
2727,E 32 St & Park Ave,E 33 St & 1 Ave,40.7457121,-73.98194829,40.74322681432173,-73.97449783980846,174
48432,W 89 St & Columbus Ave,Columbus Ave & W 72 St,40.7882213,-73.97041561,40.7770575,-73.97898475,174
2863,9 Ave & W 22 St,9 Ave & W 18 St,40.7454973,-74.00197139,40.74317449,-74.00366443,172
91507,Atlantic Ave & Furman St,Atlantic Ave & Furman St,40.69165183,-73.9999786,40.69165183,-73.9999786,172
6526,W 21 St & 6 Ave,W 20 St & 10 Ave,40.74173969,-73.99415556,40.745686,-74.005141,172
11215,E 7 St & Avenue A,Cooper Square & Astor Pl,40.72621788,-73.98379855,40.72951496224949,-73.99075269699097,172
1647,Grand Army Plaza & Central Park S,5 Ave & E 72 St,40.7643971,-73.97371465,40.77282817,-73.96685276,171
31050,E 47 St & Park Ave,W 41 St & 8 Ave,40.75510267,-73.97498696,40.75640548,-73.9900262,171
55448,West St & Chambers St,W 22 St & 10 Ave,40.71754834,-74.01322069,40.74691959,-74.00451887,171
39155,5 Ave & E 78 St,5 Ave & E 72 St,40.77632142182271,-73.96427392959595,40.77282817,-73.96685276,171
50158,E 27 St & 1 Ave,2 Ave & E 29 St,40.739445,-73.976806,40.74172351097472,-73.97809267044067,170
3638,Central Park West & W 72 St,7 Ave & Central Park South,40.77579376683666,-73.9762057363987,40.7667405590595,-73.9790689945221,170
111102,Shore Blvd & Astoria Park,Shore Blvd & Astoria Park,40.77977,-73.923162,40.77977,-73.923162,170
40440,Graham Ave & Conselyea St,Richardson St & N Henry St,40.715143,-73.944507,40.71907891179564,-73.94223690032959,170
4866,Franklin St & Dupont St,Kent Ave & N 7 St,40.73564,-73.95866,40.72036775298455,-73.96165072917938,169
3282,Central Park West & W 76 St,Central Park West & W 76 St,40.77896784,-73.97374737,40.77896784,-73.97374737,168
387112,Central Park W & W 97 St,Central Park W & W 97 St,40.79249519495111,-73.96417066463071,40.79249519495111,-73.96417066463071,168
1936,West Thames St,West Thames St,40.70834698,-74.01713445,40.70834698,-74.01713445,168
16651,1 Ave & E 16 St,1 Ave & E 18 St,40.73221853,-73.98165557,40.73381219196632,-73.98054420948029,167
5784,E 7 St & Ave B,Cooper Square & Astor Pl,40.7251285241158,-73.98131668567657,40.72951496224949,-73.99075269699097,167
6588,Broadway & W 56 St,W 54 St & 11 Ave,40.7652654,-73.98192338,40.768333,-73.992573,167
12931,Kent Ave & N 7 St,Kent Ave & N 7 St,40.72036775298455,-73.96165072917938,40.72036775298455,-73.96165072917938,166
13708,Newtown Ave & 23 St,31 St & Newtown Ave,40.7713615,-73.9246145,40.7675487799971,-73.9209334552288,166
6649,W 30 St & 10 Ave,W 30 St & 10 Ave,40.752694,-74.002353,40.752694,-74.002353,165
9028,Washington St & Gansevoort St,Washington St & Gansevoort St,40.739323,-74.008119,40.739323,-74.008119,165
33400,1 Ave & E 18 St,1 Ave & E 16 St,40.73381219196632,-73.98054420948029,40.73221853,-73.98165557,165
16016,E 1 St & 1 Ave,E 2 St & Avenue C,40.72335597960796,-73.98864984512329,40.7208736,-73.98085795,164
8189,Driggs Ave & Lorimer St,Driggs Ave & N 9 St,40.72179134,-73.9504154,40.71816969454208,-73.95520135760307,164
4138,Broadway & W 25 St,Broadway & W 25 St,40.74286877312112,-73.98918628692627,40.74286877312112,-73.98918628692627,163
1148,Broadway & W 61 St,Broadway & W 61 St,40.77003010255044,-73.9819684624672,40.77003010255044,-73.9819684624672,163
3613,W 21 St & 6 Ave,6 Ave & W 33 St,40.74173969,-73.99415556,40.74901271,-73.98848395,163
1584,W 21 St & 6 Ave,10 Ave & W 28 St,40.74173969,-73.99415556,40.75066386,-74.00176802,163
17318,Amsterdam Ave & W 79 St,Amsterdam Ave & W 73 St,40.7829391,-73.9786517,40.77966809007312,-73.98093044757842,163
37213,E 33 St & 1 Ave,2 Ave & E 31 St,40.74322681432173,-73.97449783980846,40.74290902,-73.97706058,163
4797,Little West St & 1 Pl,West St & Chambers St,40.70569254,-74.01677685,40.71754834,-74.01322069,163
4967,India St & Manhattan Ave,Franklin St & Dupont St,40.73232194,-73.9550858,40.73564,-73.95866,163
43119,6 Ave & W 33 St,6 Ave & W 45 St,40.74901271,-73.98848395,40.756951,-73.982631,163
10626,Franklin St & Dupont St,India St & Manhattan Ave,40.73564,-73.95866,40.73232194,-73.9550858,163
32130,University Pl & E 14 St,Broadway & E 14 St,40.734814,-73.992085,40.73454567,-73.99074142,162
11720,1 Ave & E 39 St,1 Ave & E 44 St,40.74714,-73.97113,40.75001986,-73.96905301,162
3527,Pier 40 - Hudson River Park,Pier 40 - Hudson River Park,40.727714,-74.011296,40.727714,-74.011296,162
9338,Adelphi St & Myrtle Ave,Willoughby St & Fleet St,40.69308257,-73.97178913,40.69196566,-73.9813018,161
4287,1 Ave & E 68 St,E 88 St & 1 Ave,40.76500525,-73.95818491,40.778301,-73.9488134,161
9664,W 22 St & 10 Ave,W 22 St & 10 Ave,40.74691959,-74.00451887,40.74691959,-74.00451887,161
48617,Suffolk St & Stanton St,Suffolk St & Stanton St,40.72066442,-73.98517977,40.72066442,-73.98517977,161
4142,Broadway & W 29 St,Broadway & W 25 St,40.7462009,-73.98855723,40.74286877312112,-73.98918628692627,161
15473,Broadway & E 21 St,University Pl & E 14 St,40.73988840858996,-73.98958593606949,40.734814,-73.992085,161
41612,Riverside Dr & W 72 St,Riverside Dr & W 72 St,40.78057799010334,-73.98562431335449,40.78057799010334,-73.98562431335449,160
